,TOTIMPSB,TOTEXPSB,REFINOBS,INDPROD,Date
0,-0.000000,7497.000000,2037.000000,-9767.000000,2014-01-01
1,-0.000000,7763.000000,1712.000000,-9850.000000,2014-02-01
2,-0.000000,7127.000000,1972.000000,-9566.000000,2014-03-01
3,-0.000000,7452.000000,1852.000000,-9660.000000,2014-04-01
4,-0.000000,6987.000000,2136.000000,-9705.000000,2014-05-01
5,-0.000000,6946.000000,2055.000000,-9780.000000,2014-06-01
6,-0.000000,6989.000000,1915.000000,-10005.000000,2014-07-01
7,-0.000000,6663.000000,2167.000000,-9597.000000,2014-08-01
8,-0.000000,6722.000000,2035.000000,-9704.000000,2014-09-01
9,-0.000000,6897.000000,2061.000000,-9690.000000,2014-10-01
10,-0.000000,7296.000000,1809.000000,-9610.000000,2014-11-01
11,-0.000000,6934.000000,2217.000000,-9630.000000,2014-12-01
12,-0.000000,7474.000000,2104.000000,-9680.000000,2015-01-01
13,-0.000000,7350.000000,2084.000000,-9636.000000,2015-02-01
14,-0.000000,7898.000000,1909.000000,-10294.000000,2015-03-01
15,-0.000000,7737.000000,2224.000000,-10308.000000,2015-04-01
16,-0.000000,6935.000000,2423.000000,-10333.000000,2015-05-01
17,-0.000000,7365.000000,2099.000000,-10564.000000,2015-06-01
18,-0.000000,7276.000000,2214.000000,-10361.000000,2015-07-01
19,-0.000000,6998.000000,2214.000000,-10265.000000,2015-08-01
20,-0.000000,7111.000000,2501.000000,-10226.000000,2015-09-01
21,-0.000000,7364.000000,2028.000000,-10276.000000,2015-10-01
22,-0.000000,7719.000000,2054.000000,-10186.000000,2015-11-01
23,-0.000000,7486.000000,2312.000000,-10144.000000,2015-12-01
24,-0.000000,7835.000000,2468.000000,-10230.000000,2016-01-01
25,-0.000000,7553.000000,2670.000000,-10220.000000,2016-02-01
26,-0.000000,7541.000000,2574.000000,-10224.000000,2016-03-01
27,-0.000000,7444.000000,2510.000000,-10262.000000,2016-04-01
28,-0.000000,7295.000000,2369.000000,-10270.000000,2016-05-01
29,-0.000000,7456.000000,2381.000000,-10550.000000,2016-06-01
30,-0.000000,7622.000000,2611.000000,-10673.000000,2016-07-01
31,-0.000000,7305.000000,2600.000000,-10630.000000,2016-08-01
32,-0.000000,7812.000000,2426.000000,-10650.000000,2016-09-01
33,-0.000000,7636.000000,2564.000000,-10625.000000,2016-10-01
34,-0.000000,8258.000000,2184.000000,-10720.000000,2016-11-01
35,-0.000000,8014.000000,2155.000000,-10465.000000,2016-12-01
36,-0.000000,7713.000000,2127.000000,-9796.000000,2017-01-01
37,-0.000000,6957.000000,2673.000000,-10011.000000,2017-02-01
38,-0.000000,7232.000000,2261.000000,-9951.000000,2017-03-01
39,-0.000000,7006.000000,2651.000000,-9946.000000,2017-04-01
40,-0.000000,6924.000000,2517.000000,-9880.000000,2017-05-01
41,-0.000000,6889.000000,2577.000000,-10070.000000,2017-06-01
42,-0.000000,6693.000000,2687.000000,-10010.000000,2017-07-01
43,-0.000000,6708.000000,2620.000000,-9951.000000,2017-08-01
44,-0.000000,6549.000000,2808.000000,-9973.000000,2017-09-01
45,-0.000000,6874.000000,2687.000000,-10056.000000,2017-10-01
46,-0.000000,7016.000000,2778.000000,-9891.000000,2017-11-01
47,-0.000000,7045.000000,2828.000000,-9980.000000,2017-12-01
48,-0.000000,7170.000000,2622.000000,-9983.000000,2018-01-01
49,-0.000000,7251.000000,2480.000000,-9935.000000,2018-02-01
50,-0.000000,7122.000000,2485.000000,-9907.000000,2018-03-01
51,-0.000000,7312.000000,2200.000000,-9868.000000,2018-04-01
52,-0.000000,6984.000000,2603.000000,-10030.000000,2018-05-01
53,-0.000000,7244.000000,2792.000000,-10489.000000,2018-06-01
54,-0.000000,7118.000000,2768.000000,-10288.000000,2018-07-01
55,-0.000000,7214.000000,2798.000000,-10412.000000,2018-08-01
56,-0.000000,7433.000000,2626.000000,-10502.000000,2018-09-01
57,-0.000000,7701.000000,2815.000000,-10642.000000,2018-10-01
58,-0.000000,8235.000000,2836.000000,-11093.000000,2018-11-01
59,-0.000000,7687.000000,2684.000000,-10643.000000,2018-12-01
60,-0.000000,7254.000000,2758.000000,-10243.000000,2019-01-01
61,-0.000000,6977.000000,2767.000000,-10136.000000,2019-02-01
62,-0.000000,7141.000000,2492.000000,-9787.000000,2019-03-01
63,-0.000000,7177.000000,2598.000000,-9807.000000,2019-04-01
64,-0.000000,6942.000000,2464.000000,-9670.000000,2019-05-01
65,-0.000000,6721.000000,2505.000000,-9782.000000,2019-06-01
66,-0.000000,6881.000000,2437.000000,-9580.000000,2019-07-01
67,-0.000000,6880.000000,2574.000000,-9789.000000,2019-08-01
68,-0.000000,6669.000000,2584.000000,-9129.000000,2019-09-01
69,-0.000000,7057.000000,2197.000000,-10302.000000,2019-10-01
70,-0.000000,7373.000000,2211.000000,-9890.000000,2019-11-01
71,-0.000000,7373.000000,2228.000000,-9594.000000,2019-12-01
